"no cond, no odor ",,,,,,,"no cond, odor",,,,,,,"aversive, odor",,,,,,,"sex, odor",,,,,,,
Overall ,Sectors,,,,,,Overall ,Sectors,,,,,,Overall,,,,,,,Overall,Sectors,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,3,1,2,3,-1,-2,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,3,1,2,3,-1,-2,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,3,1,2,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,5,-1,1,2,3,,,-3,-1,-2,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,1,1,,,,,,0,-1,1,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,6,1,2,3,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,2,-1,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,2,-1,1,2,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-3,1,2,-1,-2,-3,,,,,,,,,
,,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,-3,-1,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,3,1,2,,,,,,,,,,,,
,,,,,,,,,,,,,,-5,1,-1,-2,-3,,,,,,,,,,
,,,,,,,,,,,,,,0,1,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,-6,-1,-2,-3,,,,,,,,,,,
,,,,,,,,,,,,,,-2,1,-1,-2,,,,,,,,,,,
,,,,,,,,,,,,,,-1,-1,,,,,,,,,,,,,
